variable,pval_with_A,pval_with_Y,var_type,A_test,Y_test
temp1,0.77005948252229,0.07010235828818145,continuous,mann_whitney_u,spearman_correlation
ortho,0.5158490775140241,0.23539829784668953,binary,chi_squared,mann_whitney_u
resp1_iszero_binary,0.5074638035819834,1.3448514580210979e-07,binary,chi_squared,mann_whitney_u
race,0.4252787939939954,0.687004487144683,categorical,chi_squared,kruskal_wallis
meta,0.3366667287246312,0.30411730378735835,binary,chi_squared,mann_whitney_u
renalhx,0.2682881439178154,0.5512417364282489,binary,chi_squared,mann_whitney_u
pot1,0.22792198517013806,0.8481702273382352,continuous,mann_whitney_u,spearman_correlation
liverhx,0.08391520100898944,4.0788839254435e-08,binary,chi_squared,mann_whitney_u
hema,0.029111227436302876,4.042314967742959e-14,binary,chi_squared,mann_whitney_u
gibledhx,0.014084199050831792,0.007230844840579254,binary,chi_squared,mann_whitney_u
chfhx,0.011192848630037612,5.317442690562083e-09,binary,chi_squared,mann_whitney_u
hrt1_iszero_binary,0.008248009919576034,5.492318643935995e-13,binary,chi_squared,mann_whitney_u
amihx,0.006570014299143162,0.14211597719489683,binary,chi_squared,mann_whitney_u
age,0.003498536595678044,3.2723204475058685e-11,continuous,mann_whitney_u,spearman_correlation
immunhx,0.0033143777778676243,0.9211435313415809,binary,chi_squared,mann_whitney_u
urin1,0.0020453251074315205,6.139845834174924e-05,continuous,mann_whitney_u,spearman_correlation
das2d3pc,0.0013436229756896019,0.02074404864783739,continuous,mann_whitney_u,spearman_correlation
sex,0.0006998501114099925,0.6052319393999326,binary,chi_squared,mann_whitney_u
wblc1,0.0006880000947736411,0.11580572903843761,continuous,mann_whitney_u,spearman_correlation
ca,0.0005308063036811029,3.4838967140360126e-16,categorical,chi_squared,kruskal_wallis
malighx,0.0002481583289511834,1.4640194044261762e-15,binary,chi_squared,mann_whitney_u
meanbp1_iszero_binary,0.00020093196163157946,2.2025279505317233e-06,binary,chi_squared,mann_whitney_u
sod1,0.00011713098223932695,0.46093501648754,continuous,mann_whitney_u,spearman_correlation
edu,0.00011481030298435286,0.11454923967931353,continuous,mann_whitney_u,spearman_correlation
urin1_isna_binary,9.563953600133277e-05,0.6747091251397559,binary,chi_squared,mann_whitney_u
trauma,8.509598933229574e-05,0.2011594012309087,binary,chi_squared,mann_whitney_u
wtkilo1_iszero_binary,2.1924690561278905e-05,0.1925499429963824,binary,chi_squared,mann_whitney_u
cardiohx,2.0521461083890597e-05,1.2120008026478057e-07,binary,chi_squared,mann_whitney_u
renal,1.5027978944985322e-05,0.0727909179343722,binary,chi_squared,mann_whitney_u
gastr,8.192265216385065e-06,1.3063863088736497e-07,binary,chi_squared,mann_whitney_u
income,4.8906580522239186e-06,7.881810013349933e-05,categorical,chi_squared,kruskal_wallis
psychhx,4.500588648017065e-07,0.0003060409383689185,binary,chi_squared,mann_whitney_u
dementhx,7.51421642210602e-09,0.0006406969921028335,binary,chi_squared,mann_whitney_u
resp1,2.910656643385517e-09,0.522110994373411,continuous,mann_whitney_u,spearman_correlation
ninsclas,1.3413370852984898e-09,0.00029684884699490146,categorical,chi_squared,kruskal_wallis
scoma1,3.7490342702161274e-10,1.9731076196861566e-73,categorical,chi_squared,kruskal_wallis
hrt1,2.6051341645634383e-10,0.0016155235741793744,continuous,mann_whitney_u,spearman_correlation
transhx,2.430504232549356e-10,0.33318267773154453,binary,chi_squared,mann_whitney_u
chrpulhx,6.036886000416579e-12,2.0321641367387247e-06,binary,chi_squared,mann_whitney_u
surv2md1,2.29297401492826e-14,2.852772746879884e-221,continuous,mann_whitney_u,spearman_correlation
dnr1,1.2045141266955078e-15,4.983743026380012e-72,binary,chi_squared,mann_whitney_u
cat2,2.1927551843795556e-17,7.455563986847229e-35,categorical,chi_squared,kruskal_wallis
seps,3.272293031644435e-18,0.0005313286202022839,binary,chi_squared,mann_whitney_u
alb1,6.769083346658453e-19,3.876840848174509e-06,continuous,mann_whitney_u,spearman_correlation
bili1,3.6331420246988834e-22,2.20741566428288e-19,continuous,mann_whitney_u,spearman_correlation
resp,2.8453033218208927e-22,0.00020830848374306152,binary,chi_squared,mann_whitney_u
card,2.596284088114949e-27,0.0012483465678216666,binary,chi_squared,mann_whitney_u
wtkilo1,6.935726857679416e-29,0.02111987911993021,continuous,mann_whitney_u,spearman_correlation
neuro,7.182073374766081e-34,1.9408281492897054e-09,binary,chi_squared,mann_whitney_u
meanbp1,8.367639762387666e-58,8.669631087749458e-18,continuous,mann_whitney_u,spearman_correlation
crea1,6.853743479496252e-60,2.3185810035187933e-17,continuous,mann_whitney_u,spearman_correlation
aps1,2.3785758396078768e-73,5.261550352230094e-68,continuous,mann_whitney_u,spearman_correlation
cat1,2.9997734817775768e-84,1.6490568816186997e-107,categorical,chi_squared,kruskal_wallis
