Repetition,Estimator,True_Perf,Train_Est
1,Proximal,-1.427964834186,-2.117578669018
1,SRA,5.357782292096,3.968979820619
1,Oracle,5.371903449900,4.819597848340

2,Proximal,2.894446718031,-2.913507496690
2,SRA,5.347769296709,4.345285548532
2,Oracle,5.347769296709,5.255190830878

3,Proximal,3.593556138768,-2.563919344583
3,SRA,5.393556138768,4.161516988961
3,Oracle,5.393556138768,5.479413807048

4,Proximal,-1.246235243697,-2.796721757616
4,SRA,5.396335883252,4.219068453356
4,Oracle,5.396335883252,5.362653767520

5,Proximal,5.411573256944,-2.625228899611
5,SRA,5.411573256944,4.037656501197
5,Oracle,5.411048124833,5.042979213453

6,Proximal,3.591325808694,-2.746033335645
6,SRA,5.207345490976,4.307203779458
6,Oracle,5.391252760990,5.847903697113

7,Proximal,2.376566924467,-3.172116087596
7,SRA,5.376566924467,3.662782485494
7,Oracle,5.376566924467,5.286735473766

8,Proximal,2.497355881629,-2.568750092639
8,SRA,5.406804912055,4.289235816176
8,Oracle,5.406804912055,5.550326552681

9,Proximal,2.329159299728,-3.143647229253
9,SRA,5.386643518638,4.066932569221
9,Oracle,5.399248756962,5.574737228207

