Repetition,Estimator,True_Perf,Est_Error
1,Proximal,2.372035165814,-0.858979163406
1,SRA,3.569548058437,0.251809967146
1,Oracle,5.372035165814,0.313440062250

2,Proximal,5.347769296709,-0.707084218171
2,SRA,3.543348968079,0.095946185557
2,Oracle,5.347769296709,0.127370706559

3,Proximal,4.435535754711,-1.168483371416
3,SRA,5.055508568092,1.042772550249
3,Oracle,5.393556138768,-0.210462987359

4,Proximal,4.222663456034,-3.122215087601
4,SRA,5.193855581046,1.349304584401
4,Oracle,5.393799861896,-0.121935896782

5,Proximal,2.411573256944,-2.890280031501
5,SRA,5.283072118940,1.231979365514
5,Oracle,5.331273144129,-0.122180867931

6,Proximal,2.391325808694,-2.732896684703
6,SRA,4.271814874382,0.083144715923
6,Oracle,5.354956291029,-0.400377068360

7,Proximal,-1.423433075533,-1.610195867741
7,SRA,3.576566924467,0.672798256833
7,Oracle,5.198649222073,0.043488580087

8,Proximal,5.406804912055,-1.601642745925
8,SRA,5.406804912055,1.272651635053
8,Oracle,5.406804912055,-0.111438175977

9,Proximal,5.399248756962,-1.644199563214
9,SRA,5.399248756962,1.435862756518
9,Oracle,5.399248756962,-0.173758433002

10,Proximal,5.387848478113,-0.589126073851
10,SRA,5.387848478113,1.121702662112
10,Oracle,5.387848478113,-0.197625466257

11,Proximal,5.320772036532,-1.070017056058
11,SRA,5.214198042306,1.531694231829
11,Oracle,5.387619276906,0.052296990389

12,Proximal,5.313418241973,-1.226316811119
12,SRA,5.313418241973,0.798728969054
12,Oracle,5.313418241973,-0.519624842202

13,Proximal,2.396372647042,-4.736270584238
13,SRA,5.392770502228,1.317121002802
13,Oracle,5.392502726132,-0.275199495902

14,Proximal,2.402206920848,-1.501884798460
14,SRA,5.399109997659,1.164191258653
14,Oracle,5.402206920848,-0.074535240879

15,Proximal,5.363888575308,-0.546418860480
15,SRA,3.563888575308,-0.976994206731
15,Oracle,5.363888575308,-0.022563234798

16,Proximal,5.388593315643,-0.629425891619
16,SRA,4.706451103354,1.226925171305
16,Oracle,5.391321426781,0.139943410860

17,Proximal,4.798107565641,-2.360299321710
17,SRA,3.797035394418,-0.584288212091
17,Oracle,5.291443115007,-0.170000191985

18,Proximal,2.354632129358,-2.771993177655
18,SRA,5.354632129358,1.317554270819
18,Oracle,5.354632129358,-0.313351288117

19,Proximal,5.356301685886,-1.675331593966
19,SRA,4.483537423004,0.344802142720
19,Oracle,5.355461034607,-0.040000555294

20,Proximal,5.365284313781,-1.276650112949
20,SRA,4.989954432951,0.874511248064
20,Oracle,5.366535963305,-0.014597903181

21,Proximal,4.764563244743,-1.118011148698
21,SRA,3.704288318988,0.008571785315
21,Oracle,5.360554374574,0.225053329975

22,Proximal,2.399746914560,-2.444945082408
22,SRA,5.399746914560,1.626338211903
22,Oracle,5.399746914560,-0.388696754879

23,Proximal,5.302060753357,-0.479252973282
23,SRA,3.576351635155,-0.090066193921
23,Oracle,5.265933454581,-0.236466013573

24,Proximal,5.390092238480,-1.064825145458
24,SRA,5.390222900618,1.560797678306
24,Oracle,5.390222900618,-0.103058730220

25,Proximal,5.027938342243,-1.118278424088
25,SRA,5.260173879432,1.901797751310
25,Oracle,5.403953538661,0.372377019032

26,Proximal,4.411074288153,-2.354636846325
26,SRA,5.373240883455,1.301736871781
26,Oracle,5.373240883455,-0.038223060967

27,Proximal,5.369527387522,-1.322260159666
27,SRA,5.024457754450,0.621210835191
27,Oracle,5.377826304433,0.014590327224

28,Proximal,5.389565442479,-0.784433832308
28,SRA,5.389565442479,1.331763676824
28,Oracle,5.389565442479,-0.298386546844

29,Proximal,2.328310361861,-3.420565913559
29,SRA,5.182565040651,0.950639575128
29,Oracle,5.328310361861,-0.238101064789

30,Proximal,2.567393692925,-0.652522210606
30,SRA,5.190358957455,1.084692153179
30,Oracle,5.399816976173,-0.143523089250

