Repetition,Estimator,True_Perf,Train_Est
1,Proximal,-1.385865413776,-16.888386211115
1,SRA,5.210637223426,4.151160472974
1,Oracle,5.381691660340,4.819597848340

2,Proximal,-1.431380399988,-18.316144681113
2,SRA,5.404668244681,4.345285548532
2,Oracle,5.368619600012,5.255190830878

3,Proximal,2.354486767094,-21.177950909418
3,SRA,4.470770638038,4.842785172151
3,Oracle,5.354486767094,5.479413807048

4,Proximal,5.373649653377,-6.928290695803
4,SRA,5.354535768508,4.219068453356
4,Oracle,5.373649653377,5.362653767520

5,Proximal,2.060601645326,-16.693169653206
5,SRA,4.301408460676,4.075105902167
5,Oracle,5.409339277279,5.042979213453

6,Proximal,4.256157792597,-21.106424410779
6,SRA,3.577643104036,4.250727519624
6,Oracle,5.395584941316,5.847903697113

7,Proximal,2.367292266974,-18.058298778162
7,SRA,5.344676471218,3.835086863962
7,Oracle,5.367292266974,5.286735473766

8,Proximal,-1.447101632488,-10.910823495956
8,SRA,5.344174407456,4.289235816176
8,Oracle,5.352898367512,5.550326552681

9,Proximal,5.396110408357,-13.245774093004
9,SRA,5.389045872146,4.450659000000
9,Oracle,5.396110408357,5.574737228207

10,Proximal,2.390621081790,-14.929196877968
10,SRA,5.371156603772,4.545001929276
10,Oracle,5.390621081790,5.778005205712

11,Proximal,2.403355988379,-16.852256505730
11,SRA,5.396844794121,4.084836465126
11,Oracle,5.403355988379,5.431596861513

12,Proximal,5.390507559897,-18.623534880481
12,SRA,5.386670351411,4.783689534922
12,Oracle,5.390507559897,5.952358918055

13,Proximal,2.377523544695,-16.045087437328
13,SRA,5.404330115666,4.571411550472
13,Oracle,5.377523544695,5.911111845708

14,Proximal,2.363922623926,-21.011939322291
14,SRA,5.368243633935,4.470753792867
14,Oracle,5.363922623926,5.655995333107

15,Proximal,3.589681457867,-6.874771480220
15,SRA,4.083907082860,4.982224745624
15,Oracle,5.389681457867,5.373165445206

16,Proximal,0.405616789418,-11.232493391821
16,SRA,5.391077369261,3.945529702924
16,Oracle,5.424679090823,5.016705850818

17,Proximal,3.556880816968,-17.981592716156
17,SRA,3.743971506397,4.774627380218
17,Oracle,5.381395502800,5.302701925391

18,Proximal,2.334843330121,-19.637887057701
18,SRA,5.372575681902,4.348298027828
18,Oracle,5.334843330121,5.696168149534

19,Proximal,3.589282414088,-9.954316585000
19,SRA,5.359595553150,4.027118270508
19,Oracle,5.389282414088,5.308833537697

20,Proximal,3.591570860545,-16.342950551223
20,SRA,5.321092841373,4.559751300653
20,Oracle,5.391570860545,5.454623821998

21,Proximal,-1.439856422044,-3.652444548914
21,SRA,4.441314844211,3.925846707667
21,Oracle,5.360143577956,4.656901162447

22,Proximal,2.395406216349,-4.874637111026
22,SRA,5.387356837375,3.965228628109
22,Oracle,5.395406216349,5.776998636893

23,Proximal,-1.433880603989,-20.224125315105
23,SRA,5.389432952329,4.283325989193
23,Oracle,5.366119396011,5.682271412483

24,Proximal,3.911350773829,-26.221953481877
24,SRA,5.417333140973,3.910623776577
24,Oracle,5.414249144264,5.134277657886

25,Proximal,2.339500067903,-4.880861723763
25,SRA,5.321959047515,3.727295673834
25,Oracle,5.339500067903,5.050710766973

26,Proximal,3.745808126313,-20.584752786589
26,SRA,5.389692129466,4.600162482317
26,Oracle,5.384300711968,5.425721646091

27,Proximal,3.598639201657,-20.430602176055
27,SRA,5.371649244079,4.585903411904
27,Oracle,5.398639201657,5.425454788900

28,Proximal,3.568375849190,-20.694497908341
28,SRA,5.366207294911,4.486906302866
28,Oracle,5.368375849190,5.759612652891

29,Proximal,-1.443814459191,-4.965483669617
29,SRA,5.376594368378,4.366448090573
29,Oracle,5.356185540809,5.652679062634

30,Proximal,3.594345704261,-18.502833440638
30,SRA,5.365945418179,4.300739964412
30,Oracle,5.394345704261,5.571113221546

