Repetition,Estimator,True_Perf,Est_Error
1,Proximal,5.372035165814,-1.616256221127
1,SRA,3.572035165814,0.191265121754
1,Oracle,5.201001571293,-0.132242900915

2,Proximal,5.347769296709,-1.494851029885
2,SRA,5.347769296709,1.453575541011
2,Oracle,5.347769296709,0.127370706559

3,Proximal,5.393556138768,0.395064224360
3,SRA,4.752018719980,0.692172263170
3,Oracle,5.393556138768,-0.210462987359

4,Proximal,5.396335883252,-0.785488874809
4,SRA,4.451186950802,-0.062312718496
4,Oracle,5.396335883252,-0.119399875427

5,Proximal,2.411573256944,-1.422528498514
5,SRA,5.335957879607,1.263352415205
5,Oracle,5.411466085551,0.223479286552

6,Proximal,1.602429240186,-2.491929161276
6,SRA,3.591325808694,-0.028969622735
6,Oracle,4.713344153216,-0.390312656246

7,Proximal,-1.423433075533,-1.361279224040
7,SRA,5.376566924467,1.782668583345
7,Oracle,5.376566924467,0.053755512671

8,Proximal,3.606804912055,-0.383001070921
8,SRA,5.406804912055,1.272651635053
8,Oracle,5.406804912055,-0.111438175977

9,Proximal,2.399248756962,-2.478102074499
9,SRA,5.045685395828,0.861290812642
9,Oracle,5.399248756962,-0.173758433002

10,Proximal,5.387848478113,-2.024330968680
10,SRA,5.387848478113,1.121702662112
10,Oracle,5.387848478113,-0.197625466257

11,Proximal,2.429553561080,-2.601815523731
11,SRA,5.387619276906,1.721163143754
11,Oracle,5.387619276906,0.052296990389

12,Proximal,5.313418241973,-1.189958818013
12,SRA,5.313418241973,0.798728969054
12,Oracle,5.313418241973,-0.519624842202

13,Proximal,3.592770502228,-1.567202159245
13,SRA,5.392770502228,1.317121002802
13,Oracle,5.392770502228,-0.274931719806

14,Proximal,5.402206920848,-1.034604183345
14,SRA,5.195603384037,0.895789197337
14,Oracle,5.402206920848,-0.074535240879

15,Proximal,5.363276845185,-1.526876265490
15,SRA,4.917213914417,0.451642092365
15,Oracle,5.363888575308,-0.022563234798

16,Proximal,5.216467145717,-0.573761317939
16,SRA,5.391432051417,1.510953738180
16,Oracle,5.391432051417,0.140054035496

17,Proximal,5.332064703128,-0.255905544666
17,SRA,4.773250384474,0.390746896236
17,Oracle,5.332064703128,-0.122348987046

18,Proximal,2.354632129358,-2.327797791698
18,SRA,5.354632129358,1.317554270819
18,Oracle,5.354632129358,-0.313351288117

19,Proximal,3.556301685886,-1.129874818701
19,SRA,5.353200903571,1.522643279803
19,Oracle,5.356301685886,-0.039159904015

20,Proximal,5.366535963305,-0.976510239950
20,SRA,5.322383933548,1.201536754822
20,Oracle,5.317964252945,-0.132741991157

21,Proximal,3.639701415675,-1.860833314953
21,SRA,5.360554374574,1.492703905385
21,Oracle,5.360554374574,0.225053329975

22,Proximal,2.399746914560,-2.253121189389
22,SRA,5.399746914560,1.626338211903
22,Oracle,5.399746914560,-0.388696754879

23,Proximal,3.577012426252,-1.153930685812
23,SRA,4.534929284602,0.488810106385
23,Oracle,5.377012426252,-0.214679317244

24,Proximal,3.981261343724,-1.705437858830
24,SRA,5.280528204509,1.468463124584
24,Oracle,5.390222900618,-0.103058730220

25,Proximal,3.603966459441,-1.494639464208
25,SRA,5.305250575367,1.898782098192
25,Oracle,5.403953538661,0.372377019032

26,Proximal,5.373240883455,-1.955064256707
26,SRA,5.373240883455,1.301736871781
26,Oracle,5.373240883455,-0.038223060967

27,Proximal,4.761844275719,-1.330350364191
27,SRA,4.859287816236,0.511015844931
27,Oracle,5.359837111632,-0.046632235443

28,Proximal,5.389565442479,0.617151160383
28,SRA,5.389565442479,1.331763676824
28,Oracle,5.389565442479,-0.298386546844

29,Proximal,5.328310361861,-2.038798901767
29,SRA,5.328310361861,1.232476149364
29,Oracle,5.328310361861,-0.238101064789

30,Proximal,5.400158537041,-1.336073877269
30,SRA,5.011354425863,1.010487856268
30,Oracle,5.400158537041,-0.143181528382

