Repetition,Estimator,True_Perf,Train_Est
1,Proximal,2.378592,-34.702807
1,SRA,2.409508,2.704300
1,Oracle,3.086746,3.018076
2,Proximal,3.187191,-30.998051
2,SRA,3.374902,2.592107
2,Oracle,-0.815720,2.560122
3,Proximal,2.332997,-36.635037
3,SRA,3.608313,3.578498
3,Oracle,2.325872,2.882182
4,Proximal,5.386684,-30.553438
4,SRA,3.949901,2.391622
4,Oracle,3.035982,2.736148
5,Proximal,5.369983,-36.233083
5,SRA,3.439355,3.182665
5,Oracle,3.679431,3.957370
6,Proximal,3.763914,-30.911355
6,SRA,3.561312,2.875887
6,Oracle,3.400935,3.184504
7,Proximal,3.522113,-25.528176
7,SRA,3.560021,2.204982
7,Oracle,3.849464,2.557397
8,Proximal,5.193374,-37.089219
8,SRA,3.497306,2.695139
8,Oracle,2.314673,2.408252
9,Proximal,2.385384,-15.553257
9,SRA,3.054742,2.630901
9,Oracle,-1.173829,2.970957
10,Proximal,3.598953,-32.043998
10,SRA,-1.069952,2.936102
10,Oracle,4.031848,3.236323
11,Proximal,3.022400,-31.855082
11,SRA,3.663213,2.832217
11,Oracle,5.420350,3.054062
12,Proximal,2.436769,-29.633273
12,SRA,-1.263008,2.542670
12,Oracle,5.435874,2.654652
13,Proximal,3.447944,-32.512733
13,SRA,3.994664,3.825543
13,Oracle,3.562688,3.319674
14,Proximal,2.371094,-38.643354
14,SRA,3.215720,2.644185
14,Oracle,4.627003,2.587709
15,Proximal,1.571905,-34.652770
15,SRA,2.650147,3.430608
15,Oracle,-0.061287,3.166565
16,Proximal,2.992997,-39.278666
16,SRA,3.185206,2.465238
16,Oracle,2.650043,2.153018
17,Proximal,5.390633,-31.979684
17,SRA,5.380043,3.543559
17,Oracle,3.524385,3.337781
18,Proximal,3.088873,-33.894106
18,SRA,3.523246,3.049458
18,Oracle,5.004102,3.024124
19,Proximal,3.586614,-33.007230
19,SRA,3.364372,2.664879
19,Oracle,0.793217,2.865540
20,Proximal,3.426473,-28.914964
20,SRA,3.704175,2.715082
20,Oracle,4.107459,2.880149
21,Proximal,3.552208,-34.042056
21,SRA,3.553806,2.516897
21,Oracle,2.352752,2.879471
22,Proximal,3.598053,-33.689761
22,SRA,0.616975,2.638256
22,Oracle,5.191329,3.199856
23,Proximal,3.138648,-33.376880
23,SRA,2.195483,4.393228
23,Oracle,1.862581,2.767562
24,Proximal,1.773222,-22.718107
24,SRA,3.628326,2.557767
24,Oracle,5.340872,3.540527
25,Proximal,-1.491470,-32.580180
25,SRA,3.017547,2.397164
25,Oracle,3.456279,2.312202
26,Proximal,2.381248,-20.076248
26,SRA,-1.068734,2.489955
26,Oracle,2.399156,2.625546
27,Proximal,0.807777,-29.714750
27,SRA,-1.388792,3.079158
27,Oracle,2.477369,3.047155
28,Proximal,-1.437834,1.128027
28,SRA,3.561526,2.524659
28,Oracle,5.362166,2.739576
29,Proximal,5.319013,-30.646896
29,SRA,2.879251,3.415287
29,Oracle,3.507901,3.985081
30,Proximal,-1.390307,-39.830874
30,SRA,-0.452451,2.414637
30,Oracle,1.768384,2.633329
31,Proximal,5.375940,-31.043189
31,SRA,3.352830,3.065197
31,Oracle,3.577875,3.114713
32,Proximal,nan,-29.400124
32,SRA,5.290659,2.559277
32,Oracle,3.220332,2.775478
33,Proximal,5.222083,-38.107448
33,SRA,2.355570,2.382673
33,Oracle,5.355570,2.482570
34,Proximal,3.081964,-35.351095
34,SRA,3.816355,2.960505
34,Oracle,3.532773,3.119118
35,Proximal,5.378424,-4.617439
35,SRA,-1.421576,2.518720
35,Oracle,3.909013,2.666967
36,Proximal,3.095443,-31.741158
36,SRA,1.671161,2.542505
36,Oracle,5.388097,2.540037
37,Proximal,1.084974,-30.915288
37,SRA,3.617602,2.608801
37,Oracle,2.441101,2.587308
38,Proximal,3.520712,-8.908595
38,SRA,-1.458503,2.301090
38,Oracle,3.265578,2.746620
39,Proximal,2.692583,-18.799559
39,SRA,3.565885,2.962764
39,Oracle,3.557097,3.283926
40,Proximal,nan,-32.730197
40,SRA,-1.384730,2.771517
40,Oracle,-0.013026,2.895089
41,Proximal,4.909532,-13.910303
41,SRA,3.442859,2.597754
41,Oracle,4.138444,2.212713
42,Proximal,5.318743,-35.182256
42,SRA,5.319161,2.671158
42,Oracle,5.318743,2.984131
43,Proximal,5.145884,-33.358503
43,SRA,3.631443,2.871881
43,Oracle,5.433531,2.781667
44,Proximal,2.337127,-8.676553
44,SRA,0.728892,3.286955
44,Oracle,5.337127,2.776430
