Repetition,Estimator,True_Perf,Train_Est
1,Proximal,5.372035165814,7.043039775552
1,SRA,3.572035165814,3.929231314651
1,Oracle,5.372035165814,5.011715627186

2,Proximal,3.693686750780,5.672894114763
2,SRA,5.347769296709,4.296886331386
2,Oracle,5.347769296709,5.206791613732

3,Proximal,5.393556138768,7.181661287464
3,SRA,3.823015423025,4.165637562649
3,Oracle,5.393556138768,5.589295772079

4,Proximal,4.219605937841,7.156472304567
4,SRA,5.396335883252,4.613408216861
4,Oracle,5.396335883252,5.599257625623

5,Proximal,5.411573256944,6.428789922192
5,SRA,4.275235141503,4.267518341636
5,Oracle,5.411573256944,5.104964428852

6,Proximal,3.591325808694,6.137029548380
6,SRA,4.959469551527,4.227310533840
6,Oracle,5.391325808694,5.781785149015

7,Proximal,-1.423433075533,0.957614274549
7,SRA,5.376566924467,3.835086863962
7,Oracle,5.376566924467,5.286735473766

8,Proximal,3.606804912055,5.045305804570
8,SRA,5.406804912055,4.227968250030
8,Oracle,5.406804912055,5.432897050901

9,Proximal,5.399248756962,6.578801537907
9,SRA,5.399248756962,4.569534122216
9,Oracle,5.399248756962,5.712706281970

10,Proximal,2.387848478113,5.075646280963
10,SRA,5.387848478113,4.372744118597
10,Oracle,5.387848478113,5.560416392223

11,Proximal,2.387619276906,6.119555943804
11,SRA,5.386829402337,3.960222811427
11,Oracle,5.387619276906,5.346299815132

12,Proximal,5.313418241973,6.542289621390
12,SRA,5.313418241973,4.656151005360
12,Oracle,5.313418241973,5.738927093073

13,Proximal,5.392770502228,7.367607216309
13,SRA,5.392770502228,4.255093425207
13,Oracle,5.392770502228,5.613400668989

14,Proximal,3.602206920848,6.195753680496
14,SRA,5.402206920848,4.386093682850
14,Oracle,5.402206920848,5.529005168082

15,Proximal,2.363888575308,5.796343644196
15,SRA,5.316277273272,4.550775388025
15,Oracle,5.363888575308,5.455468750381

16,Proximal,5.391432051417,5.855637431982
16,SRA,5.391432051417,4.101742891159
16,Oracle,5.391432051417,5.184077123926

17,Proximal,5.332064703128,6.099200346221
17,SRA,5.332064703128,4.369089469836
17,Oracle,5.332064703128,5.321374174502

18,Proximal,5.354632129358,6.744479091467
18,SRA,5.354632129358,4.377813431953
18,Oracle,5.354632129358,5.706006617575

19,Proximal,3.335006819832,4.773672745534
19,SRA,5.356301685886,4.027118270508
19,Oracle,5.356301685886,5.271682370533

