Repetition,Estimator,True_Perf,Est_Error
1,Proximal,-2.604618342054,-0.145951362089
1,SRA,-1.870098594946,-1.573005249885
1,Oracle,-1.222744477368,-0.075471489083

2,Proximal,-2.581052576251,-0.058234416712
2,SRA,-1.407411830855,-0.948817623805
2,Oracle,-1.390176468454,-0.120433068868

3,Proximal,-3.129662091511,-0.916202928268
3,SRA,-2.046611114307,-1.701457325589
3,Oracle,-1.479434014628,0.057842992632

4,Proximal,-2.494550507356,0.787334852445
4,SRA,-1.798066305989,-1.872778655562
4,Oracle,-1.089274635584,0.060981148279

5,Proximal,-1.101197843686,-2.289202895477
5,SRA,-1.194326555375,-0.705173104036
5,Oracle,-1.408806686601,0.020520556267

6,Proximal,-1.402869142943,0.567389549584
6,SRA,-1.111998314576,-0.812004824412
6,Oracle,-1.052607769004,-0.352304091894

7,Proximal,-2.396808663429,-0.917157024144
7,SRA,-2.301280125886,-1.903305819030
7,Oracle,-1.407573133934,-0.282860221742

8,Proximal,-1.386128042755,0.588599506455
8,SRA,-1.368336504421,-1.624541880096
8,Oracle,-1.083155565606,-0.006409043545

9,Proximal,-1.889676247008,0.942587948797
9,SRA,-1.401180584984,-0.068325296053
9,Oracle,-1.401180584984,-0.090675782656

10,Proximal,-3.475155975306,-0.641843995767
10,SRA,-1.177943138724,-0.385201078963
10,Oracle,-1.385669584830,0.013047001528

11,Proximal,-2.309465767930,0.580804234631
11,SRA,-1.615844645215,-1.446000831565
11,Oracle,-1.109332306073,-0.062934042048

12,Proximal,-3.434219194029,-1.121379858704
12,SRA,-2.254066754878,-1.602423130001
12,Oracle,-1.370714204630,0.092789822705

13,Proximal,-1.402858762553,1.089443941618
13,SRA,-1.436885110073,-1.406400538374
13,Oracle,-2.313015791942,-0.162835926736

14,Proximal,-3.138454445741,-0.267597752313
14,SRA,-2.328462345872,-1.944357941812
14,Oracle,-1.148699353254,-0.320149718968

15,Proximal,-1.439266506348,1.168004226995
15,SRA,-1.390374309066,-1.009094756959
15,Oracle,-1.408440813139,0.154218584763

16,Proximal,-1.464957432856,-0.700838249091
16,SRA,-1.852387313941,-1.627703227672
16,Oracle,-1.250467376054,-0.102002067465

17,Proximal,-2.567160507286,-1.428543868127
17,SRA,-1.396548141517,-0.069077066143
17,Oracle,-1.396548141517,-0.134446402334

18,Proximal,-1.415512002612,0.013769253175
18,SRA,-1.177291045653,-0.455434894871
18,Oracle,-1.363652641480,-0.119990455061

19,Proximal,-1.390426657402,0.184180208505
19,SRA,-1.786449075276,-1.749522988368
19,Oracle,-1.380902820720,0.002316881489

20,Proximal,-2.889263241979,1.026664260027
20,SRA,-1.530357948091,-1.417883948504
20,Oracle,-1.404021940436,0.131846402205

21,Proximal,-1.408797514136,0.278643460891
21,SRA,-1.388175753846,-0.938104480773
21,Oracle,-1.111673364403,0.022393638305

22,Proximal,-2.829697011852,-0.710635526444
22,SRA,-1.416868438869,-0.355343044230
22,Oracle,-1.416868438869,-0.112643724453

