Repetition,Estimator,True_Perf,Est_Error
1,Proximal,5.709799358629,-1.050160320174
1,SRA,5.704233489293,1.579949714552
1,Oracle,5.709799358629,-0.181284844411

2,Proximal,5.672929190621,-0.217560750698
2,SRA,5.653770913433,1.176584769749
2,Oracle,5.672929190621,-1.045494519630

3,Proximal,4.793573625463,-1.817952369527
3,SRA,4.793573625463,-0.503405147928
3,Oracle,5.436303377164,-1.012251487466

4,Proximal,4.723502917168,-0.749716839733
4,SRA,5.604751712810,0.382661685191
4,Oracle,5.607871745307,-1.226387101758

5,Proximal,0.023313024057,-1.274864805674
5,SRA,4.772224758024,-0.407829524584
5,Oracle,5.371417389851,-0.979225768584

6,Proximal,5.667491869604,0.599091581684
6,SRA,5.129744145574,-1.494533273445
6,Oracle,5.227201356766,-1.967270825015

7,Proximal,4.823087325809,-2.447571233157
7,SRA,5.661406278718,-0.291354426572
7,Oracle,5.645099306814,-1.342554312620

8,Proximal,4.751537395976,-1.634198935909
8,SRA,4.783160639789,-0.910715566123
8,Oracle,4.746096256410,-1.311218778706

9,Proximal,4.730183423288,-0.937650833588
9,SRA,4.730183423288,-0.937650833588
9,Oracle,4.730183423288,-1.585289916760

10,Proximal,4.792488621651,0.166593534413
10,SRA,5.697510508860,1.211593159384
10,Oracle,5.697510508860,0.221495333310

11,Proximal,5.707888687861,-1.351625234016
11,SRA,5.693343607609,0.273784176709
11,Oracle,5.692424604122,-1.367089317755

12,Proximal,5.666048292533,-1.096900471056
12,SRA,4.740098966303,-1.499427842605
12,Oracle,4.738910367804,-1.545281666744

13,Proximal,4.839463434006,-3.303849945916
13,SRA,4.835481148409,-1.278787532211
13,Oracle,4.950093817146,-1.755334212473

14,Proximal,4.770833801783,-0.395672229426
14,SRA,4.797837393228,-0.982073727135
14,Oracle,5.716863878086,-0.538828945728

15,Proximal,4.782893674279,-1.095687733435
15,SRA,4.785415016505,-0.176406443743
15,Oracle,5.716288939083,0.033739489925

16,Proximal,3.620847379968,0.538280869666
16,SRA,4.798084493204,0.879387889469
16,Oracle,5.709604316854,-0.187760406500

17,Proximal,4.792715008362,-1.184613725770
17,SRA,4.794411430966,-0.319930458333
17,Oracle,4.795462140621,-0.361121588214

18,Proximal,4.791944163472,-1.858081707978
18,SRA,5.712564917569,-0.038183999202
18,Oracle,5.711424108189,-1.148503958378

19,Proximal,5.700703502012,1.459009153916
19,SRA,4.735219046110,-0.590196527675
19,Oracle,4.735219046110,-1.903317434706

20,Proximal,4.470378904045,0.526468855096
20,SRA,5.238760349118,0.555517648260
20,Oracle,4.776307979155,-0.165005953565

21,Proximal,5.653789424227,0.008405104606
21,SRA,5.651750199376,1.631966787695
21,Oracle,5.653789424227,-0.584911186919

22,Proximal,5.701510323874,1.644207016219
22,SRA,5.658743226728,1.235534509322
22,Oracle,5.661768748195,-1.297874807340

23,Proximal,4.783968681483,-0.931293772159
23,SRA,5.122756826754,-0.515382026192
23,Oracle,5.733081939530,-1.524068143965

24,Proximal,5.678312190356,0.028361369170
24,SRA,4.782918062244,-0.604621766818
24,Oracle,5.658545989890,0.568389212510

25,Proximal,4.712721709981,-0.580457864847
25,SRA,4.784492830019,-0.901404862763
25,Oracle,5.516037847807,-0.546272003907

26,Proximal,4.872631196436,-2.808798319143
26,SRA,4.898045213117,-0.234831589098
26,Oracle,5.731759889570,0.548662620888

27,Proximal,5.201103956616,1.360452292767
27,SRA,4.767253107032,0.739903783231
27,Oracle,5.674300222134,0.101963225424

28,Proximal,4.799453524484,-0.372797362929
28,SRA,5.735576184359,1.644079828195
28,Oracle,5.735576184359,-0.593841446264

29,Proximal,4.719516522923,-2.518405830567
29,SRA,4.783678821152,-0.955123766885
29,Oracle,5.641433362559,-0.196106696099

30,Proximal,4.760984027849,-1.004176612641
30,SRA,4.795409916397,-0.969750724094
30,Oracle,4.819393302050,-1.254012296361

